,2019
0.008726535364985466,27.038109238942464
0.026176949962973595,27.151804176966348
0.04361938685178757,27.242818474769592
0.061048541218042374,27.32573036617703
0.07845909893512726,27.30977323849996
0.09584575146436691,27.332412192556593
0.11320321261882782,27.37925166024102
0.13052619993686676,27.415931736098397
0.14780940115451813,27.457033342785305
0.16504760086536407,27.43760282728407
0.18223552405834198,27.473927121692235
0.1993679255247116,27.45928102069431
0.2164396196603775,27.413803911209108
0.23344536125659943,27.325375673505995
0.2503800094127655,27.1543714205424
0.2672383785247803,27.07201156086392
0.28401535749435425,26.927138990826077
0.30070579051971436,26.751449701521132
0.3173046410083771,26.594147369596694
0.3338068723678589,26.271649334165787
0.3502073884010315,26.064889441596137
0.36650121212005615,25.806341144773697
0.3826834559440613,25.424413188298544
0.39874908328056335,24.959521998299493
0.4146932363510132,24.574590582317775
0.43051108717918396,24.15054907798767
0.4461978077888489,23.675004013379414
0.4617486000061035,22.855911514494153
0.4771587550640106,21.683081993460654
0.49242356419563293,20.80088323470619
0.507538378238678,19.93410252854228
0.5224985480308533,19.264208209680188
0.537299633026123,18.486172490898106
0.5519369840621948,17.524718405761654
0.56640625,16.69572043865919
0.5807029604911804,15.86640362855461
0.5948227643966675,15.639296906317274
0.6087614297866821,15.151530539285805
0.6225146651268005,14.461647937653794
0.6360781788825989,13.864866767989264
0.649448037147522,13.219265533818138
0.6626200675964355,12.243616349250079
0.6755901575088501,11.269221583795217
0.6883545517921448,10.531736578875117
0.7009092569351196,
0.713250458240509,
0.7253743410110474,7.947281708506247
0.7372773289680481,7.04476661870463
0.7489557266235352,6.267835082982978
0.760405957698822,5.566680315290189
0.7716245651245117,4.980206930981431
0.782608151435852,4.497696035996907
0.7933533191680908,4.123533679737657
0.8038569092750549,3.8369551423204635
0.8141155242919922,3.4889790828029317
0.8241261839866638,3.105609024109112
0.8338858485221863,2.662396168915762
0.843391478061676,2.277347639454658
0.8526401519775391,1.9336535182574557
0.8616291284561157,1.2248985011936586
0.8703556656837463,0.1110997643046883
0.878817081451416,-1.0145907281897961
0.8870108127593994,-1.9655747363550795
0.894934356212616,-2.878299618414086
0.9025852680206299,-3.8314339350236373
0.9099612236022949,-4.542074494912392
0.9170600771903992,-5.277374538944827
0.9238795042037964,-6.194995323410775
0.9304175972938538,-6.814222882708742
0.9366722106933594,-7.2620203854102225
0.9426414370536804,-7.335532020467023
0.948323667049408,-7.737823951409923
0.9537169337272644,-8.37623261384045
0.9588197469711304,-8.980669341070785
0.9636304378509521,-9.580280620770322
0.9681476354598999,-10.339696889919125
0.972369909286499,-10.972359203836984
0.9762960076332092,-11.783950457059674
0.9799246788024902,-12.636239882641368
0.9832549095153809,-13.154566861523522
0.9862856268882751,-13.78185578584671
0.9890158772468567,-14.151733610365126
0.9914448261260986,-14.535872544182672
0.9935718774795532,-14.934650339020623
0.9953961968421936,-15.649177373780145
0.9969173073768616,-16.36867831548055
0.9981347918510437,-16.90907901128133
0.9990482330322266,-17.218061770333183
0.9996573328971863,-17.41067736943563
0.9999619126319885,-17.512225929896037
