,0.008726535364985466,0.026176949962973595,0.04361938685178757,0.061048541218042374,0.07845909893512726,0.09584575146436691,0.11320321261882782,0.13052619993686676,0.14780940115451813,0.16504760086536407,0.18223552405834198,0.1993679255247116,0.2164396196603775,0.23344536125659943,0.2503800094127655,0.2672383785247803,0.28401535749435425,0.30070579051971436,0.3173046410083771,0.3338068723678589,0.3502073884010315,0.36650121212005615,0.3826834559440613,0.39874908328056335,0.4146932363510132,0.43051108717918396,0.4461978077888489,0.4617486000061035,0.4771587550640106,0.49242356419563293,0.507538378238678,0.5224985480308533,0.537299633026123,0.5519369840621948,0.56640625,0.5807029604911804,0.5948227643966675,0.6087614297866821,0.6225146651268005,0.6360781788825989,0.649448037147522,0.6626200675964355,0.6755901575088501,0.6883545517921448,0.7009092569351196,0.713250458240509,0.7253743410110474,0.7372773289680481,0.7489557266235352,0.760405957698822,0.7716245651245117,0.782608151435852,0.7933533191680908,0.8038569092750549,0.8141155242919922,0.8241261839866638,0.8338858485221863,0.843391478061676,0.8526401519775391,0.8616291284561157,0.8703556656837463,0.878817081451416,0.8870108127593994,0.894934356212616,0.9025852680206299,0.9099612236022949,0.9170600771903992,0.9238795042037964,0.9304175972938538,0.9366722106933594,0.9426414370536804,0.948323667049408,0.9537169337272644,0.9588197469711304,0.9636304378509521,0.9681476354598999,0.972369909286499,0.9762960076332092,0.9799246788024902,0.9832549095153809,0.9862856268882751,0.9890158772468567,0.9914448261260986,0.9935718774795532,0.9953961968421936,0.9969173073768616,0.9981347918510437,0.9990482330322266,0.9996573328971863,0.9999619126319885
1930,26.31204982333713,26.426857937706842,26.523505722151864,26.616460922029283,26.60195935037401,26.634691447681853,26.693151132265726,26.728662549124824,26.769883886973062,26.758305486043295,26.796157312393188,26.79079670906067,26.731200790405275,26.619404617945353,26.430033286412556,26.3377443101671,26.185032097498574,25.988881720436943,25.802478901545207,25.456215609444513,25.217241965399847,24.91577149497138,24.49512213865916,24.01757916079627,23.63203347524007,23.19755518966251,22.709096625116135,21.875199030505286,20.697548590434923,19.813742854115034,18.927776805808147,18.257402217491634,17.48305481986867,16.527726568116083,15.702699034531705,14.87138168985645,14.64543721249534,14.173005741089582,13.476330217884646,12.839939619104067,12.140675189759996,11.162946816037099,10.18926653224561,9.429344568753407,8.694995585994588,7.850462717211081,6.871741674980148,5.936843915594121,5.156090117059648,4.44479095217151,3.8580655534855195,3.3633375390743216,2.9595700681106085,2.632133826142591,2.2455330705735834,1.8015325064149996,1.2891976131954126,0.8314136827312824,0.4004076413034151,-0.4509284309473717,-1.722288145725098,-2.9966053027219863,-3.9966017248315944,-4.942796907780899,-5.924675193387601,-6.639000916977723,-7.430291304726982,-8.359003983230407,-9.00692857503891,-9.522143396625243,-9.653521454085906,,-10.730811802701403,-11.24217482065368,-11.812193731446232,-12.730033953001517,-13.377909913803968,-14.004024453750915,-14.761945652154585,-15.267341111765967,-15.782447010940976,-15.96406724717882,-16.232355131043327,-16.535739138391282,-17.16168241765764,-17.818492110570272,-18.310323079427082,-18.575695827272202,-18.75064083735148,-18.845659409628976
1931,26.383570567766824,26.49448971748352,26.593175156911215,26.69397022989061,26.687555350197687,26.724718787935046,26.795043887032403,26.842369352446664,26.896762238608467,26.900204176372952,26.95703388849894,26.984372499254015,26.95005962583754,26.859034808476768,26.68523497581482,26.60602684020996,26.46215976609124,26.26296050283644,26.06960654788547,25.720130954848397,25.47222222752041,25.160780541102092,24.722846089469062,24.228845392333138,23.82292784055074,23.366999559932285,22.855917721324495,21.99602968957689,20.791426414251326,19.880323472399162,18.966786149144173,18.269920390513207,17.46914239016672,16.48587444987562,15.630850595815314,14.775470921169553,14.527662216871978,14.040885215935608,13.35174518674612,12.724107094833421,12.042448567681843,11.08702536676493,10.117358516736163,9.336181447241042,8.594144519791007,,6.746908671771073,5.773975924208449,5.027014962676913,4.354080752014286,3.792561900605344,3.312860897835344,2.923818335389822,2.616862197065105,2.2373784367098577,1.8012846854567113,1.2897211831683915,0.8370983681020637,0.41190826282319093,-0.44432960314055286,-1.7259485561775767,-2.9955965060058385,-3.9791650616719076,-4.886710661815273,-5.846018109822439,-6.550964861050468,-7.334124541888014,-8.289483613562252,-8.994680004856653,-9.553372738479327,,,,,,,-13.65403925711289,-14.279970949805445,-15.018049931940105,-15.526931548118592,-16.060117799705928,-16.25430048836602,-16.53690677218967,-16.869733073976306,-17.528189531962077,-18.220586893293593,-18.73869516054789,-19.01810098754035,-19.190281852086386,-19.27916473282708
1932,26.11051511499617,26.22649255328708,26.325077125761243,26.423848305808175,26.41501080195109,26.44580283164978,26.51079727543725,26.551503931151498,26.601103274027505,26.604391055636935,26.661072614457872,26.690292263031004,26.652057970894706,26.55801526175605,26.380303451750013,26.301653093761868,26.15911029179891,25.966110701031155,25.779217211405435,25.43289850023058,25.19075116581387,24.888017071617973,24.470104010899863,23.994922280311584,23.614345831341215,23.177257543139987,22.683821733792623,21.835783947838678,20.643506603605218,19.746493404372853,18.849222124837492,18.17268519567119,17.38738215284215,16.423147719436223,15.594724439001746,14.766599090340444,14.538407463932202,14.048866111309165,13.347002324875858,12.717698299408786,12.044872878657447,11.097983195694784,10.157171398939358,9.401990273098152,8.663305638564957,7.814254556102161,6.849132207512028,5.940466991848209,5.199157948605716,4.550578391107006,4.0208681987546795,3.578655463268256,3.2258261031962725,2.93046140176658,2.5386854999970336,2.089310022158962,1.5681388295798873,1.0936521868790603,0.6340822803451576,,,,-3.869309652565668,-4.819344604067091,-5.785838828936944,-6.480553733660943,-7.298430113918665,-8.26565768532455,-8.96527707822,-9.521796584654496,,-10.188176725390885,-10.855088338959549,-11.407761111054828,-12.027525428357896,-12.943869449115462,-13.614695817177806,-14.249910667466207,-15.007629625106023,-15.534277636475034,-16.048090754614936,-16.208531509505377,-16.435329410764908,-16.712943702273897,-17.320708664258323,-17.961751429239907,-18.433878903918796,-18.67310341729058,-18.833225610521104,-18.915656073888144
1933,25.964425847265456,26.083303229014078,26.188604214456348,26.293642404344347,26.292663447062175,26.331631872389053,26.40402728981442,26.44933088885413,26.505923785103693,26.51286352475484,26.57481747733222,26.606041203604804,26.564807086520723,26.46067787806193,26.268838914235435,26.16888532108731,26.000158564249674,25.779885694715713,25.563486973444622,25.19636764526367,24.93864040904575,24.62708159022861,24.21379853884379,23.753311575783624,23.402876615524292,22.999771891699897,22.54695066610972,21.75263172255622,20.608262986607023,19.76648270678189,18.91776116391023,18.280464995818004,17.521856138330058,16.57899039934079,15.765639091738397,14.941052910230226,14.712330261286763,14.22181692916072,13.526009166571829,12.893493751119564,12.197689440184169,11.211628894652758,10.22518997490406,9.401596154769262,8.589940150754733,7.644309649712199,6.568301006158193,5.5373344340122355,4.689742179336544,3.9383475658794245,3.3089347848720436,2.7827665016055105,2.3578787497762175,2.008675738887137,1.5851081606796167,1.123688254353571,0.6131586098965879,0.16313571519114906,-0.2930792777074708,-1.1579488520174184,-2.479282924677763,-3.748551500754224,-4.767531406920817,-5.720909451763146,-6.687970966162781,-7.3553089873865245,-8.15128576025729,-9.074241588678625,-9.704245005071991,-10.175580979014436,-10.255171227703492,-10.68607847351167,-11.309309386534409,-11.809314352584382,-12.353605298097763,-13.20025429384162,-13.797148797094511,-14.363264903757308,-15.065500329931577,-15.532689998547236,-16.002802488538954,-16.14416559272342,-16.352308869361877,-16.596551174587674,-17.166189318233066,-17.76853937043084,-18.208554236094155,-18.424563519159953,-18.561175457636516,-18.624406618542142
1934,26.014820233980814,26.11789895693461,26.206861403253342,26.293330277336967,26.269916354285346,26.28586740758684,26.339427261882356,26.370840504434373,26.418345472547742,26.420055919223362,26.47782299253676,26.505787462658354,26.475519312752617,26.39057805803087,26.216425969865586,26.134139845106336,25.98405402501424,25.7845666302575,25.593579064475165,25.248030744658575,25.008432642618814,24.710979506704543,24.301592085096573,23.840912273195055,23.481897240214877,23.072901031706067,22.61138274139828,21.798358620537652,20.635701925887002,19.76503972245587,18.87920821249071,18.22425596664996,17.449143345322874,16.477053365773624,15.626841146188477,14.771025849878788,14.522964742903907,14.04178322739899,13.361320647514528,12.754833701749643,12.106724322504467,11.171062010857794,10.230844646909585,9.47739190288509,8.725362725224759,7.846008514561173,6.841162176518184,5.860685150897674,5.076244799430586,4.380798353702347,3.8091392691971526,3.348781000284685,2.9913533738452114,2.728084729730876,2.395222837395138,2.006834826199338,1.5561286377617054,1.134828889219918,0.7203177972903683,-0.09958410610755285,-1.358125637885597,-2.614251154164473,-3.578515790734026,-4.5256521144467925,-5.510635829572048,-6.243930371610137,-7.063272282315625,-8.042422510176483,-8.748410084253798,-9.311612261914545,-9.49547422975819,-9.980493626757784,-10.649096758539478,-11.218007262837556,-11.845633078583827,-12.759554649496245,-13.423948390750835,-14.072096217837599,-14.850998900313344,-15.39432112177213,-15.91567005581326,-16.091683893733553,-16.3447875711653,-16.640454008844163,-17.263583575354684,-17.925989691416422,-18.419897090064154,-18.68104543685913,-18.85250326792399,-18.943302620781793
1935,26.105804488393996,26.21840443081326,26.31333913538191,26.40324552324083,26.38517542945014,26.40454287264082,26.461747829119364,26.499093169636197,26.548957951863606,26.553135299682616,26.615099472469755,26.649649137920804,26.618080292807687,26.527705807156032,26.348046339882746,26.26150664223565,26.108348878224692,25.90534642537435,25.707662884394328,25.356275590260825,25.112398544947307,24.812315344810486,24.398810770776535,23.92894311481052,23.555855600039163,23.128867983818054,22.64908253086938,21.820981354183623,20.645460852649478,19.75527513395581,18.855440751007862,18.18017138886369,17.39095052431027,16.420351862245134,15.575788224819634,14.734904382170903,14.498987457445926,14.018017967748973,13.321250873472955,12.692517268492116,12.012902735008133,11.047533470226659,10.089231126341556,9.329936602628893,8.577621079898543,7.711114462992797,6.70867764585548,5.7534992278967465,4.961741864459408,4.248946502725852,3.658361458949124,3.17622063700708,2.7929440109783576,2.492737087827279,2.1169923340681835,1.6983473281893464,1.2132193799078879,0.7816419509963857,0.35063254911866454,-0.48120229297718553,-1.7344082962152445,-2.990920096822083,-3.9683684330433606,-4.900007664329475,-5.8981794509933225,-6.61491337146015,-7.4461512449798954,-8.43984376669137,-9.151223165448755,-9.704126915542616,-9.885912564314074,-10.40762639120221,,,,,-13.981444181336297,-14.647907428924615,-15.416317681078281,-15.947299406263564,-16.46286225053999,-16.63280250761244,-16.899939772817824,-17.222777197096082,-17.880521363682217,-18.576310544543794,-19.084967115190295,-19.348361365000407,-19.51178125805325,-19.59144296116299
1936,26.152992282973397,26.277774307462906,26.38620842297872,26.493174097273084,26.492102522320216,26.529514598846436,26.600079398685033,26.648075959417554,26.706087605158487,26.715057637956406,26.77847016122606,26.809891266292997,26.77159831788805,26.677022377649944,26.4925346215566,26.402492078145347,26.24167579015096,26.02569400999281,25.816991959677804,25.44925074842241,25.182332446840075,24.85344198015001,24.411593786875407,23.915028776062858,23.518226917584737,23.07213667233785,22.577589869499207,21.72903825044632,20.529267605145773,19.616069270877375,18.706987317930906,18.031838336964654,17.24310726515121,16.27019871009721,15.425699678353137,14.586271045626038,14.349267522695785,13.86250677584774,13.18721846073038,12.585916709237628,11.935672151711252,11.004590554990703,10.080578673444688,9.343391181839008,8.61555929635134,,6.789832690068417,5.869402210274711,5.094995819572877,4.406235447153449,3.843039888772182,3.387134008968456,3.030916354448224,2.7483624938539126,2.372312323552453,1.9528104254122203,1.4472131131967116,1.003584136355332,0.5718825395529469,-0.2855447508601679,-1.5729154560947791,,-3.8721399878281066,-4.826087565554513,-5.869673164602783,-6.613166745876272,-7.478693849671012,-8.502365270846834,-9.241034429002967,-9.795760089691935,-9.941546248685983,,,,,,-14.043284062813553,-14.66385472414808,-15.43143793820507,-15.933584778838688,-16.439896212683784,-16.61218572722541,-16.86277275880178,-17.151997576819525,-17.77181617418925,-18.441808387968276,-18.935735697216458,-19.185335413614908,-19.35150727695889,-19.439817068311903
1937,26.30570718712277,26.427787685394286,26.5344880077574,26.63643047014872,26.625215816497803,26.65082232422299,26.71494992574056,26.75546519226498,26.803615882661607,26.803411780463325,26.855349445343016,26.87737561861674,26.824589369032118,26.71226742532518,26.51299129592048,26.41324104203118,26.24953795009189,26.03852603170607,25.839440939161513,25.492026681370206,25.25003369119432,24.94870589574178,24.531268872155085,24.05983967781067,23.69269654221005,23.268589459525213,22.793626062075298,21.96831058131324,20.792596557736395,19.902319024482534,19.007640309962962,18.3433026154836,17.561987033320797,16.594777647323077,15.752485677310162,14.913919111051493,14.678393134309186,14.190118913683627,13.511199306945006,12.90390768862433,12.23111459977097,11.267281935612361,10.308737113326789,9.528414749643868,8.760195396923356,7.861188067027575,6.84318785265916,5.871368378576719,5.062402646802366,4.33906102189018,3.7408295682320993,3.24859123920194,2.8561056941644187,2.5502059848979117,2.16979041714868,1.7380800075208147,1.2462841180282542,0.8240323049902347,0.42497095950206537,-0.3557603976275358,-1.5545852691969937,-2.7499877281978518,-3.633274787871374,-4.46683385755815,-5.372037225886662,-6.008366750325593,-6.752685392945487,-7.659705477125115,-8.293297058985464,-8.790367287800958,-8.914284083578321,-9.372892611898068,-10.018413317079345,-10.554043804005616,,,-12.72830940588481,-13.421223954173426,-14.269448847861753,-14.892795295847787,-15.488223430845473,-15.729107999801636,-16.013843989372255,-16.31993978023529,-16.94353818628523,-17.595512013965184,-18.08115816646152,-18.337178410424126,-18.461884461508856,-18.502820168601144
1938,25.95015439192454,26.066147232055663,26.169673686557346,26.271568716896905,26.26957828733656,26.316356105274625,26.39942101372613,26.455588104989793,26.52503858672248,26.549722390704684,26.628694735633,26.68005741437276,26.658850065867107,26.573255618413288,26.393476502100626,26.309122366375394,26.15963977177938,25.958386850357055,25.76773526403639,25.416684714953103,25.174732849333022,24.87536539501614,24.466110483805338,23.994212457868787,23.615299198362564,23.18456343015035,22.70252343283759,21.86699064042833,20.68441494372156,19.79499787622028,18.914117388592825,18.270033113037545,17.5168343204591,16.59155809548166,15.783497737575736,14.974690113547776,14.763786194307936,14.29878767170012,13.633469344013267,13.040689819720056,12.400820009907086,11.476959853981517,10.54701340161264,9.782580957975652,9.029733802874883,8.147340269759297,7.151155127442649,6.186192658543587,5.40742564206917,4.70873863046161,4.133623555440378,3.6574700893627274,3.2731210346818744,2.9639270506833983,2.5809830617495915,2.1330045527209425,1.6197063035512758,1.171298298909743,0.7535154099886616,-0.07518642964358958,-1.314889117454489,-2.5588954739789997,-3.487627825554874,-4.35930855491509,-5.26479536820617,-5.931348996733626,-6.687592930222551,-7.621836112659528,-8.290078840534099,-8.805940446340376,-8.93848307091329,-9.412709935557926,,,,,,-12.94022502893996,-13.615878940456444,-14.060992742909326,-14.499882544411554,-14.621217425664266,-14.849966033299763,-15.124767769707574,-15.71979116068946,-16.338484901852077,-16.79447782304552,-17.029273478190103,-17.173317183388605,-17.239669285880193
1939,26.15994466940562,26.261967823240493,26.345097857051424,26.42166879442003,26.39480117162069,26.414428679148354,26.47449459499783,26.512274776564706,26.56084920035468,26.558538288540312,26.611820856730144,26.634720346662732,26.60144386821323,26.511678213543362,26.33539440896776,26.25233284102546,26.100070842107137,25.905575476752386,25.72595337761773,25.39163364569346,25.16442059940762,24.881806516647337,24.484563353326585,24.023651570743986,23.65114902390374,23.229568910598754,22.755005889468723,21.927811879581874,20.752685770557985,19.869725156658227,18.989772809627983,18.327355162413895,17.563605162770383,16.6259469439586,15.824632341000768,15.028368262781036,14.829720445432597,14.36846747348706,13.70343290153477,13.112114645292362,12.45679623004463,11.495609829574823,10.53478825237188,9.754269688659244,8.975156232217948,8.077810032334593,7.057090225505332,6.08547659440794,5.2805580595094295,4.563834237390094,3.9748837189541923,3.4907101534927887,3.1031224024313917,2.785458129396041,2.3923296050685976,1.9503179568176467,1.4464819838111806,,,-0.27155926255250556,-1.5270993900433596,,-3.7856657311216826,-4.716981547087845,-5.690209554259976,-6.381601509751959,-7.165358594439426,-8.120935532305804,-8.80342311648031,-9.324142553843558,-9.4483752544038,-9.945842052168317,-10.6579130658259,,-11.877798736819791,-12.841333738414363,-13.533197180844015,-14.205109433933265,-15.020783767435287,-15.621502423286438,-16.195743752850426,-16.413474967744616,-16.6937893682056,-17.027718959914314,-17.69403364923265,-18.391161404715643,-18.91398195690579,-19.19638737042745,-19.37407284842597,-19.466187132729424
1940,26.540222544140285,26.652712933222453,26.74751185576121,26.838360744052462,26.824117861853704,26.85547216468387,26.913242695066664,26.946495339605544,26.98597461912367,26.97188075383504,27.01106751230028,27.016640578375924,26.965323612425063,26.864105203416614,26.678203958935207,26.588967927296956,26.434881088468764,26.226254510879517,26.026374345355563,25.66990467177497,25.419425132539537,25.11081452899509,24.684574211968314,24.196423694822524,23.788632035255432,23.32463777065277,22.80519895553589,21.93920747174157,20.72539417213864,19.79417773547272,18.864126119162474,18.16459287924485,17.36763954717252,16.402627600895034,15.567935393750668,14.744587573409081,14.527102852514428,14.050241909372724,13.381799693281453,12.788283306251591,12.137353503455719,11.185034208165275,10.240346008870336,9.487072247163288,8.733293270733622,7.854769285292261,6.8510306002365216,5.901558173791919,5.113278280871196,4.403924332346974,3.8071216786623054,3.303367710217006,2.8916706926189364,2.5567999583358567,2.1841364742955194,1.749055602357516,1.2177887097518476,,,,-1.7460803667290343,,-3.877586339512426,-4.728028926682762,-5.634633903036592,,-6.981867314916518,-7.8613923543443285,-8.460526173455744,-8.902138307972605,-8.959975112819423,,-10.041429821453574,,-11.154524047320916,-12.078699112300658,-12.749324479781919,-13.405262061705193,-14.188149004677932,-14.745839243465,-15.285873489909703,-15.476408380932279,-15.749743321206834,-16.081839129659866,-16.74613289833069,-17.431497404310438,-17.93589472770691,-18.1927161693573,-18.33114955690172,-18.38747239112854
1941,26.6021227783627,26.711347002453273,26.799952522913614,26.887675084008112,26.872549645105998,26.903450282414756,26.96725716061062,27.008544625176324,27.059266016218398,27.058140405019124,27.114105171627468,27.1408399687873,27.107688352796767,27.01912252108256,26.847185368008084,26.769120571348402,26.623578135172526,26.42605277167426,26.238960133658516,25.893279163042703,25.65217332839966,25.34827314482795,24.92161168522305,24.425001406669615,24.011681347423128,23.55026384724511,23.03537770907084,22.174149749014113,20.96269510090351,20.03491270898117,19.10923987339354,18.38383687320683,17.552534756478337,16.546551786528692,15.671989646553993,14.811897679666679,14.555155501700938,14.03942932839402,13.33205113493734,12.710104656819668,12.041967775424322,11.081467113892238,10.122034205993016,9.375234384172492,8.644477477669716,7.785309100392947,6.796715539642093,5.832634455503689,5.048852322938749,4.331664210169887,3.7312038669129834,3.2213525464169734,2.8012758757660374,2.4547976955667967,2.0462363678064626,1.5901275346935209,,,,,,,,,,,,-8.739943081388871,-9.419235259066854,-9.940147512509592,-10.070253569591376,-10.611745457640952,-11.317787915085338,,,,-14.191567741230958,-14.862927355306844,-15.669333094844802,-16.266543054580687,-16.849201748106214,-17.08084507253435,-17.404356842570834,-17.765074605411954,-18.45153340763516,-19.153507126702202,-19.67311446401808,-19.94333724975586,-20.078670989142523,-20.12755873468187
1942,26.083436642752755,26.20750708580017,26.318599179055955,26.43613904847039,26.453015597661338,26.51656569374932,26.615168176756963,26.68562155564626,26.76255176862081,26.784605413013033,26.854985920588174,26.884494421217177,26.853486400180394,26.76391248703003,26.58838561905755,26.5072563595242,26.363120725419787,26.170831955803767,25.989015144772,25.650810816552905,25.422397009531657,25.133117956585355,24.727872965070937,24.256498752699958,23.873168510860868,23.436140677664014,22.948552282651267,22.1221226533254,20.946724738180638,20.054423369011946,19.16480207161771,18.498236770513984,17.71808795910846,16.756245837608972,15.91368978238768,15.063761228902472,14.813827840569946,14.289786820444796,13.561201617121696,12.91827274279462,12.212551939487458,11.224587343633175,10.261152542858488,,,,,5.865466350285957,5.044289532371073,4.318731870450494,3.705413305335161,3.2081214235992066,2.8201269981451333,2.5216904149080315,2.1546301395270144,1.757255318108946,1.2895371446799901,0.8765199725050479,0.4680599376077427,,,,,,-5.691001222060166,-6.422941336149557,-7.240055174546109,-8.204716530938944,-8.891987024847833,-9.408553904212184,-9.540489139338995,,-10.727380472359558,,-11.852391955960128,-12.754610789044657,-13.402865190679828,-14.021625026118839,-14.774445021214584,-15.315253604782953,-15.847479142083062,-16.02604303095076,-16.293332139650982,-16.606674681769476,-17.24906473689609,-17.927627171410453,-18.423593118455674,-18.66831793255276,-18.83121851285299,-18.91605348057217
1943,,,,,,,26.42317650847965,26.468913843896654,26.530544482337103,26.547301271226672,26.617104005813598,26.652875444624158,26.622702736324733,26.536164421505397,26.358541133668687,26.279792086283365,26.142313777075874,25.953388044569227,25.77326186498006,25.442275259229874,25.219232098261514,24.945561610327825,24.563932405577766,24.12215410338508,23.764412090513442,23.34845740530226,22.877570207913717,22.057368781831528,20.889687676396633,20.005652285739778,19.112725756731297,18.44247413192772,17.659687023030386,16.698179960250854,15.864174103736877,15.030448069935664,14.803420594127642,14.323991296481754,13.613597275730637,12.978812970940231,12.28861147860686,11.31414827193237,10.34393353043124,,,,6.8538564836813345,5.891924977157679,5.104626382667468,4.413902710137578,3.849343935172591,3.4022453231452445,3.062480577125421,2.8161889345967213,2.501972407164673,2.1407845872040423,,,,,,,,,,,,-7.247616828181264,-7.96161761789117,,,-9.290579131297353,,,,,,,-14.551746452392804,-15.196976292133332,-15.808429061041938,-16.058380219671463,-16.381023322211373,-16.74323230849372,-17.432590280638802,-18.14526498052809,-18.6680807378557,-18.92934405538771,-19.109031184514365,-19.211869541803996
1944,,,,,,,26.629562748803032,26.67226894431644,26.722712087631226,26.720666249593098,26.772573534647623,26.79354411760966,26.754974418216282,26.662595637639363,26.47982774840461,26.391089381111993,26.24017818768819,26.035663016637166,25.83368446032206,25.48145882288615,25.2392816596561,24.936692272292245,24.520095687442357,24.048879493607416,23.674488894144694,23.246226904127333,22.770247870021397,21.95435211128659,20.791839403245184,19.917279098307095,19.035095922545427,18.37295470928204,17.6007947359648,16.64705442521307,15.814990409422252,14.981409536219305,14.755686722323299,,,,,,,,,,,6.212153709845411,5.461809189421022,4.787371057908361,4.225150721230441,3.754792648372758,3.377557201911178,3.0747296093031764,2.69337270993015,2.27460058936154,1.8015520827741258,,,,,,,,-5.124469240558473,-5.812067648944342,-6.571270305818568,-7.531017458314697,-8.236571702411554,-8.799916667511894,,-9.509092762279842,-10.198986042125357,,-11.38285603540846,-12.298248678238856,-12.97369314496302,-13.623128038023909,-14.4108510846893,-14.98310857878791,-15.516162802113428,-15.694159534242418,-15.946874870194328,-16.259822670618693,-16.90980178250207,-17.592824761072794,-18.089343955781725,-18.328232722812228,-18.494900019963584,-18.58814457257589
1945,,,,,,,26.633462209171718,26.668824786610074,26.71442609892951,26.707347700330946,26.756768004099527,26.778231636683145,26.7337429523468,26.637186659706963,26.458059983783297,26.374389775594075,26.230885558658176,26.040035459730362,25.851599597930907,25.51110212273068,25.278102276060316,24.97364746729533,24.552195988761053,24.073008296224806,23.703055556615194,23.277637057834202,22.80284379058414,21.985459201865726,20.820247671670383,19.948677938162454,19.074337944885094,18.42541315758394,17.6583836497532,16.69702109694481,15.852901725036402,14.984595362966258,14.739422447234393,14.25528068318963,13.561578851938247,12.923373929452564,12.2151654097769,11.24793247183164,10.275928744492639,9.48842400399347,8.738160742902094,,6.848303041120785,5.8843023063563225,5.076059496319957,4.357236202463032,3.7625361940525988,3.2706174910330446,2.877199821660502,2.548543108248527,2.134258921716052,1.6816735925204638,1.1820861988804408,,,,,,,-4.84485485411456,-5.79022998990905,-6.46501799150784,-7.247340655213015,-8.177889130430088,-8.821618982673519,-9.288780032830417,,-9.860436242487696,-10.515156102149437,,,-12.553242109167494,-13.2246911152059,-13.872663357564145,-14.668951971746154,-15.256656730175019,-15.793516518010033,-15.966897206836277,-16.20455465051863,-16.490625256962247,-17.107200336456298,-17.75205355220371,-18.223389132817587,-18.455757469601103,-18.612043147616916,-18.693810759650336
1946,,,,,,,,,,,,,,26.61955805354648,26.455225065019395,26.38028491338094,26.23924780951606,26.055609936184354,25.881843927171495,25.555982942051358,25.334312550226848,25.054434061050415,24.66341143714057,24.201684268315635,23.834867106543648,23.414714188045927,22.947952331437005,22.136809680196976,20.978846867713663,20.115248505026102,19.24491086138619,18.58365868255496,17.807108959333142,16.84667524024844,16.011677089416317,15.16954108128945,14.922102233131106,14.416473621709478,13.711927958163951,13.074054430425168,12.371394083069431,11.379491704743769,10.399001735366053,9.617284864021672,,,,5.95627807887892,5.132448639886247,4.393387070505155,3.7611342354910446,3.235864170659786,2.8108981439300504,2.45717255367587,2.0238022609613835,1.5481173144084297,1.0215948607358667,0.526612972933799,,-0.8400431304756139,-2.141865920130577,,-4.419087557189373,-5.357096183672548,-6.325502867458595,-7.009473397706945,-7.801483076541788,-8.741000309917663,-9.391494921594859,-9.879708411648041,-9.983793953547462,-10.434030669472284,-11.05768400720424,,,-13.070091359635505,-13.733518679108885,-14.365894034256538,,-15.695064641369713,-16.218890958362156,-16.402692182858786,-16.66477431986067,-16.963179132673474,-17.58864057328966,-18.247071674134997,-18.735218726264105,-18.989286348554824,-19.154453182220458,-19.239556980133056
1947,,,,,,,,,,,,,26.706525882085163,26.616532384024726,26.44069905810886,26.35594956080119,26.206069395277236,26.015360408359104,25.833470175001356,25.498501136567857,25.27532517115275,24.99351714452108,24.605635176764594,24.157102330525717,23.803907465934753,23.399136283662585,22.938214214642844,22.136011285252042,20.984050933933922,20.114081029428377,19.22752908559309,18.556991445961305,17.768775673293405,16.78801549424728,15.931413875106308,15.061495241605574,14.789758611304892,14.266629013750288,13.549018943371872,12.897617705083556,12.1776514771084,11.176924221714337,10.19769586144636,9.40668215300474,,,6.745088707490099,5.80927988824745,5.015247734770592,4.296560209223793,3.709205001256325,3.234818301587883,2.854283534673353,2.5328999450947673,2.1425488472140084,1.6981141969561577,1.1801461385873457,0.7210011670003749,0.26614839450663164,-0.5843492935204672,-1.8381278878440046,,-3.9289537720589176,-4.7566758917178955,-5.634307456533942,-6.239667080435902,-6.931513559052513,-7.792686728455333,-8.378131988717037,-8.808752962336358,-8.869814850369261,-9.3055417360324,-9.907590844254527,,-10.937169017187424,-11.812590362165226,-12.44431848567393,-13.026847270896866,-13.732960542788108,-14.217445548375448,-14.698438984817928,-14.835298543506198,-15.04715272055732,-15.300543634096782,-15.881319655312431,-16.504969109429254,-16.96048091782464,-17.185389031304254,-17.323057301839192,-17.38789438141717
1948,,,,,,,,,,,,,26.604201883739897,26.508607318666247,26.32770716879103,26.246652772691515,26.10476820733812,25.910103003184002,25.72054728931851,25.371951839658948,25.13474964035882,24.843814272350734,24.45257463985019,23.99743428495195,23.63085346751743,23.218691272205778,22.75656574567159,21.947727998097736,20.787953999969695,19.920450722674527,19.044905463274983,18.398485648057733,17.641967726747193,16.701246686114207,15.881640495194329,15.056421296753816,14.824439060522451,14.338369876001444,13.646024216545953,13.016793062838001,12.333585134479735,11.37634941757553,10.43638280554571,9.693039644540598,,,7.1335258637331815,6.206431774888188,5.431350638179316,4.735608980664983,4.161102295651411,3.6897897446579817,3.3091738301600953,,,,,,,,,,-3.627501148633504,-4.558448511155115,-5.527094972568253,-6.262537840914188,-7.0889716387208965,-8.085379015296025,-8.833263530261402,-9.446708103579779,-9.69134291542901,-10.295456229150295,-11.078537520904662,-11.752952312088262,-12.502094211243094,-13.597309992048476,-14.457867265244325,-15.252019305568602,-16.170676643070248,-16.88149913549423,-17.548064091470508,-17.847355977694193,-18.208264361487494,-18.609686647521126,-19.339736710654364,-20.104603640238444,-20.689266543918187,-21.023732572131685,-21.232159683439466,-21.349690850575765
