,0.008726535364985466,0.026176949962973595,0.04361938685178757,0.061048541218042374,0.07845909893512726,0.09584575146436691,0.11320321261882782,0.13052619993686676,0.14780940115451813,0.16504760086536407,0.18223552405834198,0.1993679255247116,0.2164396196603775,0.23344536125659943,0.2503800094127655,0.2672383785247803,0.28401535749435425,0.30070579051971436,0.3173046410083771,0.3338068723678589,0.3502073884010315,0.36650121212005615,0.3826834559440613,0.39874908328056335,0.4146932363510132,0.43051108717918396,0.4461978077888489,0.4617486000061035,0.4771587550640106,0.49242356419563293,0.507538378238678,0.5224985480308533,0.537299633026123,0.5519369840621948,0.56640625,0.5807029604911804,0.5948227643966675,0.6087614297866821,0.6225146651268005,0.6360781788825989,0.649448037147522,0.6626200675964355,0.6755901575088501,0.6883545517921448,0.7009092569351196,0.713250458240509,0.7253743410110474,0.7372773289680481,0.7489557266235352,0.760405957698822,0.7716245651245117,0.782608151435852,0.7933533191680908,0.8038569092750549,0.8141155242919922,0.8241261839866638,0.8338858485221863,0.843391478061676,0.8526401519775391,0.8616291284561157,0.8703556656837463,0.878817081451416,0.8870108127593994,0.894934356212616,0.9025852680206299,0.9099612236022949,0.9170600771903992,0.9238795042037964,0.9304175972938538,0.9366722106933594,0.9426414370536804,0.948323667049408,0.9537169337272644,0.9588197469711304,0.9636304378509521,0.9681476354598999,0.972369909286499,0.9762960076332092,0.9799246788024902,0.9832549095153809,0.9862856268882751,0.9890158772468567,0.9914448261260986,0.9935718774795532,0.9953961968421936,0.9969173073768616,0.9981347918510437,0.9990482330322266,0.9996573328971863,0.9999619126319885
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.940138159857856
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.743725872039796
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.910647486419315,18.99482279709644,18.29971875809133,17.500680381639135,16.522900398903424,15.669966980545885,14.817651599417959,14.570600697067048,,,,,,,,,,,6.0332653207436024,5.308456036241518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.206968720753988,-19.298454899258083
1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.69080194897122,-19.772500869962904
1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.05876220597161,-20.149269983503554
1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.746603054470487,20.56485028035111,19.6754071811835,18.792553968003226,18.125324698082274,17.354063754611545,16.403401542372173,15.581368550575442,14.750849240852727,14.520327223982248,,,,,,,,,,,5.613959467493825,4.808472450362104,4.095010388957518,3.491418049463795,2.9865376773393817,2.578017550613731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.829653628667195,-19.91512260966831
1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.654248695903355,20.48547272582849,19.6083132583441,18.7333916992363,18.088420584187325,17.331450078553623,16.388237314422927,15.567870162096288,14.738911241613742,14.513526563180818,,,,,,,,,,,5.768333216979065,4.978214392659397,4.273363289671639,3.6895720686026228,3.1967587503708073,2.7942446910569236,2.466584277781658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.17154157426622,-20.260260592566596
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.454889548487134,19.587040362465714,18.7215035924688,18.081580757266945,17.324827352083393,16.37715896533595,15.547421331507051,14.7046236337473,14.468863208923075,,,,,,,,,,,5.4172585811000316,4.577862346482774,3.838737139628372,3.2334093428734274,2.7312483311087514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.07771977848477,-19.163872220781116
1884,,,,,,,,,,,,,,,,,,,,,24.71301292843289,24.420336124632094,24.007816248469883,23.534453161557515,23.154441001680162,22.730545687675477,22.253172704908582,21.424471153153313,20.246120336651803,19.353975601985844,18.457908158500988,17.795665863087116,17.016525161804424,16.058062653243542,15.219887262375819,14.386865658892525,14.169955946091148,,,,,,,,,,,5.370802791199337,4.543266209913417,3.817062158841226,3.208974943730411,2.7068659743436405,2.309901333187008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.15610799789429,-20.24016941388448
1885,,,,,,,,,,,,,,,,,,25.64485846095615,25.443892341189915,25.09581484529707,24.85062183274163,24.540840151574876,24.115006303787233,23.633699062135484,23.24378432167901,22.79340754085117,22.293224149280125,21.449235163794622,20.260227904385992,19.355566566463352,18.443319821205094,17.772388155111628,16.99896153526174,16.04979843017128,15.231571981083189,14.416074668036567,14.212825710409218,,,,,,,,,,,5.580366859300476,4.748599023754812,4.005984178226855,3.387332619699494,2.8608651115766004,2.4307227230947723,2.076877137851342,1.6418183200164802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.21164713435703,-20.29633699523078
