Temperature,Location
0.7250428517659505,0.014015389482180278
0.7598231986716941,0.042046171647531015
0.7669917993378221,0.07007699263723273
0.7790124416351318,0.09804516285657883
0.8604887099493117,0.1258882340930757
0.9016939798990885,0.1536688320878623
0.9381350314978397,0.18132409182461826
0.8734645247459412,0.20879174768924713
0.9988422393798828,0.23613440605901903
1.135317560452134,0.26328906728260554
1.2230404124540442,0.29025638804716225
1.278466201410061,0.3170357680902248
1.3608113542387756,0.3435649630389636
1.4676526978958484,0.36978102839270305
1.6221938189338236,0.3956845451803768
1.7175894747959095,0.4212751067086552
1.7762283153748244,0.4465530909849017
1.7370746188693575,0.47151802910698787
1.729087663733441,0.49610759900963824
1.544304889181386,0.520258613254713
1.2267017583737427,0.5439724100047144
1.0482404044504916,0.5673108047313904
0.9230139228735077,0.5902107324493066
0.7692891667398174,0.6126102061753862
0.6444538160302173,0.634509207188398
0.5136458926730686,0.6559076097276476
0.2212402472335301,0.6768056890937719
0.20404691899076421,0.6972036158784907
0.31230618403508115,0.7170373266869849
0.3361986600435697,0.736308841914921
0.46010638821509575,0.7550169421780494
0.584814178809691,0.773098892040467
0.7106069776746962,0.7905554877387153
0.989599469064296,0.8073865517802622
1.0951852680724343,0.8235918209876543
1.4319851523951481,0.8391718613473993
1.7164870636372627,0.8541260731371143
2.064101791381836,0.8683909416198731
2.3354286285768073,0.8819689463420086
2.57736959802099,0.894857567476939
2.878796497023249,0.9069954745740776
3.152984995900849,0.9184466703438464
3.681977178009463,0.9292082450759243
4.113848368326823,0.9392191569010416
4.56842515733507,0.9484790378146701
4.573038561590787,0.9569885648530105
4.974543644831731,0.9647469887366662
5.145297506581182,0.971755318019701
4.742156084846048,0.9780126459458295
4.837019920349121,0.9835199117660522
5.32252311706543,0.988208532333374
5.326870600382487,0.9920884768168131
