,1950
0.008726535364985466,25.808964474995932
0.026176949962973595,25.931979783376057
0.04361938685178757,26.034668278694152
0.061048541218042374,26.135627889633177
0.07845909893512726,26.126377693812053
0.09584575146436691,26.155052929454378
0.11320321261882782,26.217532653278774
0.13052619993686676,26.260557426346672
0.14780940115451813,26.31183984544542
0.16504760086536407,26.31336261431376
0.18223552405834198,26.369027026494344
0.1993679255247116,26.389298990037705
0.2164396196603775,26.352307160695393
0.23344536125659943,26.25835475921631
0.2503800094127655,26.072340477837457
0.2672383785247803,25.979286511739094
0.28401535749435425,25.82621455722385
0.30070579051971436,25.633495367897883
0.3173046410083771,25.456606727176244
0.3338068723678589,25.12316473590003
0.3502073884010315,24.902928198708427
0.36650121212005615,24.627916463216145
0.3826834559440613,24.24192526605394
0.39874908328056335,23.79391728507148
0.4146932363510132,23.448437118530272
0.43051108717918396,23.05035206741757
0.4461978077888489,22.60238122145335
0.4617486000061035,21.816406191719903
0.4771587550640106,20.67365380194452
0.49242356419563293,19.833444795219435
0.507538378238678,18.986791879295684
0.5224985480308533,18.368944240759852
0.537299633026123,17.63941788085633
0.5519369840621948,16.716943663689825
0.56640625,15.915796074767908
0.5807029604911804,15.091469491148988
0.5948227643966675,14.867434274322457
0.6087614297866821,14.38048288979464
0.6225146651268005,13.671197505295277
0.6360781788825989,13.021730723728735
0.649448037147522,12.316190976235601
0.6626200675964355,11.30966321825981
0.6755902171134949,10.296363956750268
0.6883545517921448,9.464760630619194
0.7009092569351196,8.638436546259456
0.713250458240509,7.69108180983199
0.7253743410110474,6.610506505092943
0.7372773289680481,5.624382310795287
0.7489557266235352,4.7644213512203555
0.760405957698822,4.001353428668032
0.7716245651245117,3.3847107923796607
0.782608151435852,2.881210163095966
0.7933533191680908,2.4884792142237226
0.8038568496704102,2.1727645611144704
0.8141155242919922,1.770156840690308
0.8241261839866638,1.3337637443147186
0.8338858485221863,0.8405116654570318
0.843391478061676,0.39398834854364395
0.8526401519775391,-0.047717825464335166
0.8616291284561157,-0.8715081682376977
0.8703556656837463,-2.1082839476048116
0.8788171410560608,-3.269304937776178
0.8870108127593994,-4.186462854499567
0.894934356212616,-5.075350422577726
0.9025852680206299,-6.0301169274711155
0.9099612832069397,-6.657108971512773
0.9170600771903992,-7.448049736788703
0.9238795042037964,-8.401363383088675
0.9304175972938538,-9.069253781431406
0.9366722106933594,-9.595026430042667
0.9426414966583252,-9.758187970477675
0.948323667049408,-10.240943174685041
0.9537169337272644,-10.887730341073539
0.9588197469711304,-11.436587800886223
0.9636304378509521,-11.985445260698906
0.9681476354598999,-12.926949435463435
0.972369909286499,-13.580074258479808
0.9762960076332092,-14.220276818010543
0.9799246788024902,-14.99672376488646
0.9832549095153809,-15.556447953648037
0.9862856268882751,-16.11149049864875
0.9890158772468567,-16.314808540874058
0.9914448261260986,-16.600336745050218
0.9935718774795532,-16.92204052342309
0.9953961968421936,-17.567673590448166
0.9969173073768616,-18.237056949403552
0.9981347918510437,-18.728277948167587
0.9990482330322266,-18.974150705337525
0.9996573328971863,-19.117885398864747
0.9999619126319885,-19.181360732184515
